FrameSize,Timestamp,SessionID
13820,18859,1-STAND-BLUE
13840,18921,1-STAND-BLUE
14113,18984,1-STAND-BLUE
13346,19031,1-STAND-BLUE
13594,19093,1-STAND-BLUE
12958,19156,1-STAND-BLUE
13003,19218,1-STAND-BLUE
13313,19281,1-STAND-BLUE
12748,19343,1-STAND-BLUE
12766,19406,1-STAND-BLUE
12673,19468,1-STAND-BLUE
12762,19531,1-STAND-BLUE
12913,19593,1-STAND-BLUE
13254,19656,1-STAND-BLUE
12973,19718,1-STAND-BLUE
13081,19781,1-STAND-BLUE
13351,19843,1-STAND-BLUE
13135,19906,1-STAND-BLUE
13106,19968,1-STAND-BLUE
13500,20031,1-STAND-BLUE
13484,20093,1-STAND-BLUE
13202,20156,1-STAND-BLUE
13152,20218,1-STAND-BLUE
13320,20281,1-STAND-BLUE
13118,20343,1-STAND-BLUE
13287,20406,1-STAND-BLUE
13370,20468,1-STAND-BLUE
13127,20531,1-STAND-BLUE
13082,20593,1-STAND-BLUE
12991,20656,1-STAND-BLUE
13260,20718,1-STAND-BLUE
13442,20781,1-STAND-BLUE
13449,20843,1-STAND-BLUE
13236,20906,1-STAND-BLUE
13140,20968,1-STAND-BLUE
13369,21031,1-STAND-BLUE
13556,21093,1-STAND-BLUE
13497,21156,1-STAND-BLUE
13613,21218,1-STAND-BLUE
13705,21281,1-STAND-BLUE
13586,21343,1-STAND-BLUE
13365,21406,1-STAND-BLUE
13173,21468,1-STAND-BLUE
12977,21515,1-STAND-BLUE
13109,21578,1-STAND-BLUE
13560,21640,1-STAND-BLUE
13681,21703,1-STAND-BLUE
13521,21765,1-STAND-BLUE
13506,21828,1-STAND-BLUE
13807,21890,1-STAND-BLUE
13554,21953,1-STAND-BLUE
13582,22015,1-STAND-BLUE
13013,22078,1-STAND-BLUE
13267,22156,1-STAND-BLUE
13091,22218,1-STAND-BLUE
13313,22265,1-STAND-BLUE
13364,22328,1-STAND-BLUE
13516,22390,1-STAND-BLUE
13393,22453,1-STAND-BLUE
13292,22515,1-STAND-BLUE
13322,22578,1-STAND-BLUE
13164,22640,1-STAND-BLUE
13399,22703,1-STAND-BLUE
13296,22765,1-STAND-BLUE
12946,22828,1-STAND-BLUE
13025,22890,1-STAND-BLUE
12745,22937,1-STAND-BLUE
12701,23000,1-STAND-BLUE
12821,23062,1-STAND-BLUE
12735,23140,1-STAND-BLUE
12735,23203,1-STAND-BLUE
12847,23250,1-STAND-BLUE
12663,23328,1-STAND-BLUE
12863,23390,1-STAND-BLUE
13053,23453,1-STAND-BLUE
12929,23500,1-STAND-BLUE
12820,23562,1-STAND-BLUE
12659,23625,1-STAND-BLUE
12653,23687,1-STAND-BLUE
12759,23750,1-STAND-BLUE
12461,23812,1-STAND-BLUE
12454,23875,1-STAND-BLUE
12461,23937,1-STAND-BLUE
12586,24000,1-STAND-BLUE
12661,24062,1-STAND-BLUE
12387,24125,1-STAND-BLUE
12455,24187,1-STAND-BLUE
12621,24250,1-STAND-BLUE
12337,24312,1-STAND-BLUE
12392,24375,1-STAND-BLUE
12486,24437,1-STAND-BLUE
12394,24500,1-STAND-BLUE
12082,24562,1-STAND-BLUE
12306,24625,1-STAND-BLUE
12490,24687,1-STAND-BLUE
12565,24750,1-STAND-BLUE
12455,24812,1-STAND-BLUE
12494,24875,1-STAND-BLUE
12310,24937,1-STAND-BLUE
12513,25015,1-STAND-BLUE
12368,25078,1-STAND-BLUE
12310,25140,1-STAND-BLUE
12437,25203,1-STAND-BLUE
12456,25265,1-STAND-BLUE
12855,25328,1-STAND-BLUE
12860,25390,1-STAND-BLUE
13013,25453,1-STAND-BLUE
12686,25515,1-STAND-BLUE
13078,25578,1-STAND-BLUE
13550,25640,1-STAND-BLUE
13507,25703,1-STAND-BLUE
13442,25765,1-STAND-BLUE
13625,25828,1-STAND-BLUE
13818,25890,1-STAND-BLUE
13595,25953,1-STAND-BLUE
13977,26015,1-STAND-BLUE
13943,26078,1-STAND-BLUE
13773,26140,1-STAND-BLUE
13637,26203,1-STAND-BLUE
13524,26250,1-STAND-BLUE
13756,26328,1-STAND-BLUE
13485,26375,1-STAND-BLUE
13976,26437,1-STAND-BLUE
13878,26500,1-STAND-BLUE
14014,26578,1-STAND-BLUE
14332,26625,1-STAND-BLUE
14285,26703,1-STAND-BLUE
14051,26765,1-STAND-BLUE
13851,26828,1-STAND-BLUE
13974,26890,1-STAND-BLUE
14192,26953,1-STAND-BLUE
14092,27015,1-STAND-BLUE
14012,27078,1-STAND-BLUE
14059,27140,1-STAND-BLUE
14102,27203,1-STAND-BLUE
14049,27265,1-STAND-BLUE
13906,27328,1-STAND-BLUE
13828,27406,1-STAND-BLUE
14023,27468,1-STAND-BLUE
13932,27531,1-STAND-BLUE
13941,27593,1-STAND-BLUE
13800,27640,1-STAND-BLUE
13867,27703,1-STAND-BLUE
13726,27765,1-STAND-BLUE
14001,27828,1-STAND-BLUE
13789,27890,1-STAND-BLUE
13516,27968,1-STAND-BLUE
13714,28031,1-STAND-BLUE
13813,28093,1-STAND-BLUE
13516,28156,1-STAND-BLUE
13838,28218,1-STAND-BLUE
13663,28281,1-STAND-BLUE
13868,28343,1-STAND-BLUE
13916,28406,1-STAND-BLUE
13520,28468,1-STAND-BLUE
13601,28531,1-STAND-BLUE
13419,28593,1-STAND-BLUE
13433,28656,1-STAND-BLUE
13611,28718,1-STAND-BLUE
13663,28781,1-STAND-BLUE
13644,28828,1-STAND-BLUE
13744,28890,1-STAND-BLUE
13740,28953,1-STAND-BLUE
13819,29015,1-STAND-BLUE
13954,29078,1-STAND-BLUE
13847,29140,1-STAND-BLUE
14039,29203,1-STAND-BLUE
13828,29265,1-STAND-BLUE
13440,29328,1-STAND-BLUE
13689,29390,1-STAND-BLUE
13347,29453,1-STAND-BLUE
13459,29515,1-STAND-BLUE
13671,29578,1-STAND-BLUE
13552,29640,1-STAND-BLUE
13731,29703,1-STAND-BLUE
13762,29765,1-STAND-BLUE
13801,29828,1-STAND-BLUE
13951,29890,1-STAND-BLUE
13709,29953,1-STAND-BLUE
13807,30015,1-STAND-BLUE
13610,30078,1-STAND-BLUE
13825,30156,1-STAND-BLUE
13918,30218,1-STAND-BLUE
13631,30281,1-STAND-BLUE
13684,30343,1-STAND-BLUE
13458,30406,1-STAND-BLUE
13604,30468,1-STAND-BLUE
13678,30531,1-STAND-BLUE
12955,30593,1-STAND-BLUE
13353,30640,1-STAND-BLUE
13526,30703,1-STAND-BLUE
13587,30765,1-STAND-BLUE
13705,30828,1-STAND-BLUE
13669,30890,1-STAND-BLUE
14025,30968,1-STAND-BLUE
13916,31031,1-STAND-BLUE
13657,31093,1-STAND-BLUE
13981,31156,1-STAND-BLUE
13737,31218,1-STAND-BLUE
13600,31281,1-STAND-BLUE
13804,31343,1-STAND-BLUE
13637,31406,1-STAND-BLUE
13728,31453,1-STAND-BLUE
13716,31531,1-STAND-BLUE
13548,31593,1-STAND-BLUE
13323,31656,1-STAND-BLUE
13364,31718,1-STAND-BLUE
13656,31781,1-STAND-BLUE
13581,31843,1-STAND-BLUE
13459,31906,1-STAND-BLUE
13476,31968,1-STAND-BLUE
13585,32031,1-STAND-BLUE
13800,32093,1-STAND-BLUE
13762,32156,1-STAND-BLUE
13608,32218,1-STAND-BLUE
13681,32281,1-STAND-BLUE
13798,32343,1-STAND-BLUE
13728,32406,1-STAND-BLUE
13674,32468,1-STAND-BLUE
13338,32531,1-STAND-BLUE
13525,32593,1-STAND-BLUE
13722,32656,1-STAND-BLUE
13772,32718,1-STAND-BLUE
13713,32796,1-STAND-BLUE
13728,32859,1-STAND-BLUE
13673,32921,1-STAND-BLUE
13891,32984,1-STAND-BLUE
13844,33046,1-STAND-BLUE
13865,33109,1-STAND-BLUE
14125,33171,1-STAND-BLUE
13781,33234,1-STAND-BLUE
13868,33296,1-STAND-BLUE
13743,33375,1-STAND-BLUE
13645,33437,1-STAND-BLUE
13785,33515,1-STAND-BLUE
13611,33578,1-STAND-BLUE
13863,33656,1-STAND-BLUE
13976,33718,1-STAND-BLUE
14010,33796,1-STAND-BLUE
13862,33859,1-STAND-BLUE
13752,33937,1-STAND-BLUE
13595,34000,1-STAND-BLUE
13597,34078,1-STAND-BLUE
13683,34156,1-STAND-BLUE
13685,34234,1-STAND-BLUE
